1.单交易负载测试：执行200%目标TPS，对单只交易分别运行“运行10分钟”的测试,,,
,,,
交易序号,交易名称,业务目标TPS,执行200%目标TPS
1,用户登录,0.15,0.3
2,搜索数据,1.5,3
3,上传数据,0.45,0.9
4,发起数据审批,0.45,0.9
5,数据同意审批,0.45,0.9
,,,
,,,
"2.混合交易负载测试：执行100%目标TPS,多支交易按一定交易比例并发，运行时长为30分钟的混合负载测试场景",,,
交易序号,交易名称,业务目标TPS,执行100%目标TPS
1,用户登录,0.15,0.15
2,搜索数据,1.5,1.5
3,上传数据,0.45,0.45
4,发起数据审批,0.45,0.45
5,数据同意审批,0.45,0.45
,,,
,,,
3.稳定性测试：执行80%目标TPS，多支交易按一定比例并发，运行时长为8小时的混合负载测试场景,,,
交易序号,交易名称,业务目标TPS,执行80%目标TPS
1,用户登录,0.15,0.12
2,搜索数据,1.5,1.2
3,上传数据,0.45,0.36
4,发起数据审批,0.45,0.36
5,数据同意审批,0.45,0.36
,,,
,,,
4.极限值测试的方法：在100%目标TPS混合负载测试场景可达的情况下，按照一定100%的比例逐渐增加所选交易的压力，执行30分钟,,,
交易序号,交易名称,业务目标TPS,执行100%目标TPS
1,用户登录,0.15,0.15
2,搜索数据,1.5,1.5
3,上传数据,0.45,0.45
4,发起数据审批,0.45,0.45
5,数据同意审批,0.45,0.45
,,,
,,,
交易序号,交易名称,业务目标TPS,执行200%目标TPS
1,用户登录,0.15,0.3
2,搜索数据,1.5,3
3,上传数据,0.45,0.9
4,发起数据审批,0.45,0.9
5,数据同意审批,0.45,0.9
,,,
,,,
交易序号,交易名称,业务目标TPS,执行300%目标TPS
1,用户登录,0.15,0.45
2,搜索数据,1.5,4.5
3,上传数据,0.45,1.35
4,发起数据审批,0.45,1.35
5,数据同意审批,0.45,1.35
,,,
,,,
交易序号,交易名称,业务目标TPS,执行400%目标TPS
1,用户登录,0.15,0.6
2,搜索数据,1.5,6
3,上传数据,0.45,1.8
4,发起数据审批,0.45,1.8
5,数据同意审批,0.45,1.8
